[GIN] 2026/03/08 - 16:00:37 | 200 |       8.125µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:38 | 200 |  5.993775583s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:00:42 | 200 |      18.916µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:42 | 200 |      13.084µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:42 | 200 |       6.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:45 | 200 |       24.75µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:47 | 200 |      16.708µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:47 | 200 |       5.916µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:48 | 200 |  5.918576917s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:00:48 | 200 |      10.583µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:48 | 200 |      14.542µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:48 | 200 |       5.125µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:51 | 200 |          76µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:53 | 200 |       15.75µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:53 | 200 |       6.417µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:53 | 200 |  5.824483583s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:00:57 | 200 |          14µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:00:57 | 200 |      12.667µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:00:57 | 200 |       5.666µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:00 | 200 |      38.959µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:01 | 404 |    3.659917ms |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/03/08 - 16:01:01 | 404 |    2.268792ms |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/03/08 - 16:01:02 | 200 |  4.789672375s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:01:02 | 200 |      15.958µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:02 | 200 |          16µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:02 | 200 |       8.583µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:05 | 200 |       41.25µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:06 | 200 |  4.464218542s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:01:08 | 404 |    3.721708ms |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/03/08 - 16:01:10 | 200 |      13.875µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:10 | 200 |      13.917µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:10 | 200 |       7.833µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:10 | 200 |      15.458µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:10 | 200 |       5.333µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:13 | 200 |      34.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:13 | 200 |      17.417µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:13 | 200 |      10.958µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:15 | 200 |      17.458µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:15 | 200 |       6.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:16 | 200 |      38.333µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:16 | 200 |      13.959µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:16 | 200 |      70.667µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:19 | 200 |       38.75µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:19 | 200 |      13.041µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:19 | 200 |      14.083µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:20 | 200 |      16.292µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:20 | 200 |       6.042µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:22 | 200 |      12.875µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:22 | 200 |       4.625µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:22 | 200 |       8.417µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:25 | 200 |      14.208µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:25 | 200 |      22.709µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:25 | 200 |      16.458µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:25 | 200 |          15µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:25 | 200 |       5.833µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:28 | 200 |      94.042µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:28 | 200 |      20.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:28 | 200 |      16.167µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:30 | 200 |      15.208µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:30 | 200 |       4.666µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:31 | 200 |      45.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:31 | 200 |      20.833µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:31 | 200 |      49.833µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:33 | 200 |      25.583µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:34 | 200 |      41.375µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:34 | 200 |      10.959µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:34 | 200 |      14.042µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:35 | 200 |      14.292µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:35 | 200 |        5.75µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:36 | 200 |      19.334µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:37 | 200 |      11.084µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:37 | 200 |       8.042µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:37 | 200 |       5.125µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:39 | 200 |          25µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:40 | 200 |      62.959µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:40 | 200 |      16.333µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:40 | 200 |          26µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:40 | 200 |      19.792µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:40 | 200 |         7.5µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:41 | 200 |  7.525417333s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/03/08 - 16:01:43 | 200 |      51.167µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:43 | 200 |      13.333µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:43 | 200 |       8.875µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:45 | 200 |      15.459µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:45 | 200 |       5.875µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:46 | 200 |      33.792µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:46 | 200 |      15.208µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:46 | 200 |      12.333µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:49 | 200 |      39.125µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:49 | 200 |      16.709µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:49 | 200 |      11.875µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:50 | 200 |      24.917µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:50 | 200 |        8.75µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:52 | 200 |      11.333µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:52 | 200 |           7µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:52 | 200 |       4.083µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:55 | 200 |      50.209µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:55 | 200 |      33.166µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:55 | 200 |      17.666µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/03/08 - 16:01:55 | 200 |      18.208µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/03/08 - 16:01:55 | 200 |       6.375µs |       127.0.0.1 | GET      "/api/ps"
